aX,aY,aZ,gX,gY,gZ
-0.980,1.550,0.497,50.232,-45.349,10.193
-0.883,1.664,0.548,12.878,-65.369,9.277
-0.796,1.738,0.721,-35.889,-70.435,16.968
-0.682,1.750,0.920,-87.585,-58.899,38.208
-0.452,1.730,1.015,-131.714,-31.128,72.205
-0.179,1.718,1.120,-155.823,12.512,107.666
0.059,1.667,1.202,-156.311,46.326,128.357
0.209,1.629,1.182,-138.489,61.523,129.517
0.286,1.570,1.160,-104.248,63.477,110.596
0.298,1.502,1.154,-61.768,46.143,74.097
0.206,1.420,1.148,-21.118,12.573,32.837
0.070,1.341,1.116,11.597,-25.085,-2.808
-0.070,1.262,1.092,36.133,-51.392,-26.733
-0.197,1.198,1.092,50.903,-61.401,-40.833
-0.320,1.149,1.079,59.387,-58.472,-44.495
-0.378,1.090,1.022,61.401,-44.373,-40.344
-0.394,1.046,0.950,59.021,-23.010,-36.621
-0.394,1.002,0.869,52.429,-3.845,-37.842
-0.398,0.957,0.813,43.518,10.315,-44.312
-0.446,0.899,0.773,33.569,14.160,-53.101
-0.474,0.834,0.741,22.949,13.733,-59.509
-0.495,0.760,0.726,12.878,12.756,-64.697
-0.491,0.721,0.722,3.174,7.751,-70.496
-0.495,0.679,0.730,-5.188,2.197,-75.989
-0.470,0.655,0.745,-10.193,-0.854,-78.735
-0.428,0.661,0.767,-11.108,0.000,-80.322
-0.382,0.651,0.786,-11.414,0.671,-82.764
-0.328,0.608,0.792,-13.306,-1.160,-84.778
-0.265,0.593,0.809,-15.503,-5.249,-88.135
-0.206,0.573,0.820,-17.151,-11.841,-94.543
-0.173,0.567,0.823,-17.639,-22.827,-103.882
-0.191,0.555,0.832,-16.785,-31.067,-115.173
-0.257,0.513,0.840,-16.785,-36.743,-123.474
-0.300,0.441,0.848,-17.151,-36.987,-123.657
-0.316,0.335,0.892,-15.686,-31.860,-115.784
-0.307,0.278,0.940,-13.245,-29.663,-104.736
-0.261,0.235,0.945,-4.517,-34.058,-93.933
-0.182,0.172,0.995,13.794,-39.551,-84.595
-0.132,0.141,0.991,39.490,-54.077,-83.923
-0.064,0.126,0.986,69.885,-72.937,-90.332
-0.043,0.115,0.986,98.328,-87.463,-97.839
0.004,0.094,0.953,117.615,-89.722,-102.966
0.029,0.050,0.922,123.352,-78.552,-106.079
0.035,-0.021,0.898,113.953,-61.768,-109.436
0.026,-0.116,0.868,94.788,-45.166,-111.328
-0.009,-0.233,0.854,73.547,-28.748,-112.915
-0.040,-0.333,0.853,54.626,-15.076,-116.089
-0.075,-0.467,0.852,39.978,-7.935,-117.310
-0.100,-0.585,0.846,28.320,-6.714,-115.906
-0.121,-0.694,0.847,17.517,-8.057,-112.854
-0.143,-0.773,0.851,7.263,-10.437,-107.544
-0.153,-0.821,0.860,-3.479,-11.658,-98.511
-0.151,-0.849,0.883,-14.038,-10.925,-86.304
-0.140,-0.843,0.910,-23.254,-9.705,-72.937
-0.128,-0.805,0.936,-30.518,-7.446,-60.059
-0.101,-0.715,0.970,-33.508,-5.554,-48.706
-0.109,-0.636,0.996,-29.602,-7.141,-36.987
-0.116,-0.540,1.021,-23.926,-8.545,-28.503
-0.142,-0.433,1.055,-19.470,-8.728,-20.142
-0.142,-0.323,1.062,-16.296,-6.897,-8.728
-0.109,-0.217,1.047,-14.282,-5.066,2.563
-0.087,-0.097,1.032,-11.841,-4.822,11.169
-0.075,0.006,1.014,-8.606,-4.700,16.357
-0.051,0.079,0.995,-6.348,-4.395,20.874
-0.034,0.137,0.981,-5.249,-4.639,23.682
-0.019,0.192,0.982,-3.845,-4.150,24.841
-0.022,0.248,0.989,-0.793,-3.601,24.475
-0.033,0.278,1.000,1.343,-4.822,22.034
-0.029,0.295,1.009,0.183,-6.042,19.836
-0.027,0.301,1.021,-3.662,-4.761,17.822
-0.030,0.289,1.028,-8.057,-1.770,16.968
-0.015,0.283,1.045,-12.573,3.845,15.747
-0.013,0.277,1.048,-15.930,8.972,14.160
-0.009,0.258,1.052,-15.869,12.939,13.794
0.003,0.239,1.040,-12.939,14.709,13.916
-0.000,0.238,1.027,-8.789,15.076,13.306
-0.003,0.233,1.002,-3.479,15.747,12.756
-0.005,0.239,0.977,1.709,15.198,12.024
-0.010,0.251,0.951,6.287,15.442,10.437
-0.017,0.264,0.928,10.254,15.442,9.216
-0.028,0.264,0.914,13.123,13.855,7.935
-0.039,0.261,0.901,13.062,10.498,6.958
-0.058,0.265,0.896,9.644,9.216,6.653
-0.048,0.255,0.896,6.165,9.277,7.202
-0.034,0.247,0.895,2.930,6.653,7.263
-0.029,0.247,0.900,0.488,2.625,7.019
-0.014,0.240,0.908,-0.610,1.648,7.202
-0.019,0.250,0.913,-1.465,1.404,6.958
-0.006,0.242,0.912,-0.854,1.038,7.202
0.002,0.236,0.911,0.183,1.038,7.690
-0.005,0.246,0.908,0.610,1.770,6.897
-0.018,0.250,0.905,0.671,2.563,5.676
-0.032,0.261,0.899,0.549,0.244,4.639
-0.047,0.254,0.906,-0.549,-0.549,4.150
-0.063,0.254,0.926,-3.174,-2.808,4.883
-0.074,0.261,0.943,-6.165,-4.761,6.226
-0.075,0.258,0.974,-8.423,-1.953,8.362
-0.067,0.262,0.999,-7.263,-2.075,10.010
-0.051,0.268,1.011,-4.883,-3.967,10.986
-0.033,0.269,1.023,-0.732,-3.235,11.108
-0.021,0.278,1.017,3.723,-1.160,10.742
-0.002,0.280,1.005,7.141,1.404,9.644
0.007,0.274,0.987,9.766,2.747,7.507
-0.003,0.270,0.965,11.292,4.333,4.333
