aX,aY,aZ,gX,gY,gZ
-1.148,0.410,0.866,399.048,119.141,-199.158
-0.432,-0.467,0.758,721.375,165.710,-129.639
0.279,-0.853,0.877,647.827,197.144,-113.403
0.462,-0.842,0.701,326.477,202.637,-124.878
0.262,-0.694,0.767,216.492,172.913,-102.051
0.076,-0.572,0.650,201.660,135.376,-60.547
0.100,-0.643,0.450,184.204,105.713,-24.292
0.200,-0.716,0.420,99.365,81.665,-12.512
0.142,-0.755,0.604,-9.338,53.284,-13.306
0.159,-0.949,0.829,-75.378,28.687,-10.681
0.152,-1.024,0.914,-116.333,21.790,2.014
0.054,-0.767,0.847,-156.372,24.536,23.926
-0.100,-0.218,0.746,-176.331,27.283,33.752
-0.113,0.038,0.610,-167.297,27.832,-0.061
0.027,-0.067,0.632,-98.450,26.733,-64.697
0.061,0.394,0.557,4.822,27.710,-124.207
0.055,0.021,0.780,118.713,15.503,-208.618
-0.058,-0.846,0.969,98.999,3.418,-307.617
-0.121,-1.426,0.998,33.325,16.052,-309.387
0.043,-1.683,0.892,30.579,40.649,-213.928
0.110,-1.365,0.738,49.500,52.979,-76.965
0.027,-0.704,0.689,71.655,46.570,35.950
0.111,-0.275,0.703,107.910,30.823,81.909
0.253,-0.232,0.629,103.271,17.700,73.792
0.133,-0.387,0.535,67.505,6.042,41.748
0.045,-0.542,0.549,30.884,-3.784,19.165
-0.009,-0.549,0.623,10.254,-9.399,18.860
0.123,-0.265,0.657,15.381,-10.254,32.654
0.116,0.020,0.719,10.376,-5.188,33.936
0.119,-0.020,0.935,26.855,-5.310,1.648
0.161,-0.244,1.067,76.233,-6.531,-38.574
0.123,-0.505,0.941,130.432,7.019,-57.373
0.202,-0.666,0.880,119.690,23.743,-62.927
0.189,-0.784,0.812,95.276,32.715,-62.805
-0.022,-0.832,0.901,81.421,35.400,-59.082
-0.163,-0.840,0.826,111.694,32.837,-42.847
-0.054,-0.755,0.693,156.006,32.471,-16.724
-0.074,-0.719,0.580,187.256,27.710,-5.249
-0.087,-0.633,0.599,191.956,23.071,-5.371
0.046,-0.531,0.639,202.820,17.822,-3.479
0.163,-0.604,0.686,228.821,13.245,-10.437
0.149,-0.797,0.714,244.995,12.634,-33.630
0.166,-0.997,0.715,228.027,16.846,-42.419
0.221,-1.092,0.699,194.763,22.339,-27.100
0.229,-1.083,0.674,164.856,29.297,-5.066
0.137,-1.060,0.662,151.306,39.490,7.568
0.026,-0.998,0.668,158.813,51.514,14.832
-0.052,-0.617,0.532,157.593,65.674,21.606
-0.027,-0.401,0.502,102.051,74.219,3.784
0.114,-0.368,0.568,90.698,66.223,-31.433
0.069,-0.509,0.377,79.834,58.167,-67.444
0.185,-0.826,0.248,51.941,45.959,-97.900
0.171,-0.894,0.440,1.282,42.725,-97.229
0.138,-0.874,0.670,-11.230,51.270,-88.623
0.137,-0.904,0.642,1.404,82.764,-89.661
0.069,-1.047,0.582,6.897,129.028,-97.412
-0.096,-1.100,0.534,-0.244,179.321,-85.754
-0.295,-1.164,0.489,-1.404,215.271,-64.758
-0.412,-1.037,0.541,-6.592,243.591,-40.771
-0.357,-0.881,0.521,-10.254,265.076,-25.818
-0.251,-0.948,0.307,-4.028,264.709,-23.560
-0.103,-0.904,0.184,-14.160,241.028,-15.442
0.003,-0.876,0.092,-7.080,192.383,-7.324
0.065,-0.825,0.146,13.000,132.324,-9.766
0.060,-0.720,0.290,31.616,78.186,-20.935
0.061,-0.706,0.367,44.983,41.626,-36.865
0.079,-0.809,0.364,50.903,29.846,-46.936
0.098,-0.863,0.333,45.593,34.546,-44.861
0.051,-0.836,0.354,42.358,44.922,-37.415
-0.071,-0.844,0.312,60.364,57.556,-28.809
-0.228,-0.845,0.258,73.303,71.411,-22.156
-0.281,-0.818,0.290,51.880,82.703,-21.973
-0.274,-0.833,0.295,24.658,89.844,-28.076
-0.228,-0.815,0.338,-3.174,95.337,-37.537
-0.140,-0.762,0.358,-30.334,98.755,-49.744
-0.081,-0.865,0.279,-45.227,98.999,-67.322
0.027,-1.051,0.260,-49.744,91.675,-81.482
0.118,-1.068,0.328,-56.458,78.735,-88.562
0.097,-1.005,0.369,-39.673,63.721,-83.313
0.074,-1.034,0.316,-11.353,53.406,-79.041
0.079,-1.060,0.349,5.920,50.720,-79.163
0.052,-0.964,0.460,12.451,51.636,-77.515
0.155,-0.928,0.372,23.682,59.143,-75.317
0.253,-1.003,0.298,34.607,63.416,-68.909
0.266,-1.032,0.247,21.545,63.416,-62.012
0.371,-1.059,0.190,-1.343,60.974,-59.570
