aX,aY,aZ,gX,gY,gZ
0.061,-0.746,1.913,-4.639,149.414,67.810
0.092,-0.751,1.993,-5.798,171.326,73.303
0.175,-0.746,2.017,-11.963,188.538,76.904
0.206,-0.773,2.064,-20.874,202.209,79.834
0.296,-0.782,2.091,-27.039,218.384,85.938
0.362,-0.779,2.094,-32.043,236.633,97.107
0.428,-0.748,2.092,-37.964,254.761,111.450
0.477,-0.747,2.083,-43.274,271.606,124.023
0.430,-0.765,2.066,-49.194,282.532,134.521
0.373,-0.755,2.044,-60.547,287.109,143.005
0.324,-0.728,1.953,-75.012,285.095,146.423
0.325,-0.644,1.850,-93.750,279.846,145.630
0.329,-0.561,1.699,-111.938,278.931,143.738
0.307,-0.452,1.516,-126.709,283.142,145.020
0.289,-0.358,1.322,-138.794,287.476,147.522
0.253,-0.281,1.100,-147.095,288.086,146.973
0.177,-0.247,0.915,-147.583,287.964,142.700
0.132,-0.175,0.699,-145.630,292.297,140.503
0.104,-0.091,0.486,-143.738,292.175,142.334
0.042,0.016,0.239,-141.785,278.870,141.113
-0.034,0.072,0.113,-136.353,254.028,134.827
-0.040,0.242,0.033,-126.709,225.769,123.535
-0.089,0.276,-0.071,-108.521,199.097,106.873
-0.130,0.386,-0.167,-95.642,180.725,96.191
-0.180,0.421,-0.221,-77.148,170.471,83.130
-0.239,0.409,-0.248,-47.668,165.527,70.923
-0.311,0.411,-0.222,-16.235,161.804,62.439
-0.382,0.431,-0.236,11.963,161.255,50.537
-0.368,0.360,-0.166,26.733,156.677,33.447
-0.325,0.397,-0.218,28.198,149.231,36.926
-0.286,0.464,-0.182,20.325,134.583,33.264
-0.226,0.433,-0.213,23.254,121.582,22.339
-0.165,0.402,-0.203,29.541,109.558,7.507
-0.125,0.372,-0.187,32.166,95.459,-3.601
-0.057,0.356,-0.172,30.945,81.360,-14.465
0.024,0.313,-0.231,24.292,66.406,-27.588
0.093,0.276,-0.287,9.888,48.828,-36.621
0.192,0.220,-0.342,-5.615,34.424,-42.053
0.289,0.175,-0.414,-13.306,27.710,-43.152
0.384,0.138,-0.493,-12.451,26.855,-42.908
0.488,0.104,-0.529,-7.141,26.733,-40.527
0.570,0.075,-0.535,-1.160,24.170,-37.903
0.630,0.050,-0.533,2.991,18.799,-35.828
0.674,0.041,-0.543,4.639,9.521,-33.386
0.702,0.043,-0.538,4.272,-3.113,-32.288
0.754,0.036,-0.554,4.944,-13.367,-34.058
0.763,0.011,-0.566,6.531,-20.569,-35.461
0.759,0.023,-0.578,5.920,-27.405,-33.264
0.728,0.030,-0.589,5.005,-38.208,-31.006
0.712,0.047,-0.625,4.517,-52.490,-31.250
0.695,0.059,-0.650,5.310,-69.580,-34.485
0.671,0.049,-0.659,6.287,-82.703,-38.513
0.661,0.034,-0.654,11.902,-87.952,-41.687
0.641,0.031,-0.621,23.621,-89.905,-41.016
0.613,0.030,-0.565,37.048,-94.055,-37.964
0.568,0.024,-0.464,47.607,-100.098,-35.278
0.542,0.013,-0.339,56.091,-108.337,-34.485
0.519,0.014,-0.218,59.570,-121.216,-34.546
0.524,0.032,-0.111,57.312,-134.949,-34.180
0.512,0.049,-0.028,53.650,-150.208,-32.410
0.479,0.051,0.050,46.509,-167.297,-30.212
0.445,0.035,0.121,37.537,-180.969,-31.067
0.402,0.019,0.148,34.302,-190.552,-34.241
0.359,0.015,0.188,34.180,-197.937,-36.499
0.325,0.009,0.233,33.630,-201.721,-37.292
0.291,0.027,0.264,34.790,-201.721,-36.926
0.253,0.025,0.304,38.940,-203.369,-36.072
0.217,0.011,0.377,43.396,-209.167,-36.255
0.171,0.003,0.450,46.631,-218.445,-37.415
0.126,-0.011,0.533,47.546,-232.117,-38.818
0.082,-0.017,0.599,42.908,-248.474,-40.649
0.014,-0.012,0.606,34.302,-263.245,-43.701
-0.018,-0.022,0.607,27.283,-270.935,-50.659
-0.019,-0.029,0.638,28.625,-270.874,-58.594
-0.070,-0.033,0.696,41.626,-266.541,-62.134
-0.123,-0.046,0.751,57.983,-260.803,-60.791
-0.190,-0.066,0.802,65.674,-259.827,-60.486
-0.254,-0.137,0.846,67.383,-264.954,-65.125
-0.274,-0.173,0.844,62.866,-272.888,-72.266
-0.376,-0.229,0.920,55.786,-278.870,-78.064
-0.329,-0.232,0.917,60.791,-276.062,-78.064
-0.345,-0.253,0.962,70.618,-264.282,-73.181
-0.402,-0.275,1.012,82.336,-249.146,-68.665
-0.461,-0.334,1.097,96.558,-233.459,-68.542
-0.510,-0.381,1.206,111.633,-219.299,-72.449
-0.536,-0.438,1.329,127.136,-204.163,-77.271
-0.538,-0.511,1.465,139.771,-186.646,-79.956
-0.491,-0.536,1.571,146.240,-168.396,-80.811
-0.439,-0.596,1.659,150.635,-151.550,-84.656
-0.415,-0.684,1.765,150.024,-137.573,-89.417
-0.352,-0.715,1.846,143.738,-128.784,-93.567
-0.292,-0.801,1.928,136.047,-124.146,-98.328
-0.243,-0.882,1.996,122.437,-118.164,-99.182
-0.169,-0.882,2.017,102.173,-106.445,-94.482
-0.159,-0.942,2.036,85.938,-92.651,-90.942
-0.131,-0.948,2.014,69.397,-74.280,-86.853
-0.098,-0.945,1.965,54.260,-56.213,-83.130
-0.072,-0.925,1.896,39.612,-43.213,-79.651
-0.046,-0.896,1.801,23.926,-36.255,-76.538
-0.022,-0.872,1.687,7.568,-34.851,-73.975
0.000,-0.856,1.549,-7.385,-36.621,-70.679
-0.009,-0.840,1.405,-20.569,-40.100,-66.711
-0.026,-0.821,1.295,-31.067,-40.588,-61.646
-0.015,-0.780,1.205,-34.973,-35.583,-55.237
-0.020,-0.745,1.129,-31.616,-27.100,-47.241
-0.021,-0.697,1.097,-25.391,-16.846,-37.781
-0.025,-0.665,1.093,-16.907,-5.432,-28.931
-0.031,-0.642,1.109,-7.507,3.296,-22.949
-0.056,-0.632,1.098,-1.038,7.080,-18.982
-0.080,-0.615,1.077,-3.418,5.676,-16.174
-0.084,-0.588,1.045,-10.498,2.197,-15.747
-0.090,-0.569,1.001,-14.160,-1.465,-16.418
-0.091,-0.533,0.964,-15.625,-4.578,-15.198
-0.097,-0.496,0.929,-15.015,-5.737,-12.451
-0.115,-0.474,0.904,-12.451,-3.479,-10.925
-0.122,-0.466,0.890,-7.385,1.648,-9.155
-0.131,-0.448,0.885,-0.122,8.423,-6.165
-0.140,-0.436,0.884,7.568,13.184,-2.502
-0.161,-0.431,0.895,12.756,14.282,1.038
0.202,-0.897,1.753,29.480,64.148,72.205
0.200,-0.908,1.802,23.132,75.745,83.618
0.208,-0.913,1.811,9.033,84.534,90.942
0.187,-0.926,1.782,-9.888,92.102,95.032
0.171,-0.901,1.732,-28.870,99.731,99.792
0.173,-0.876,1.678,-42.297,108.521,103.882
0.168,-0.833,1.635,-48.340,117.310,107.666
0.150,-0.789,1.616,-49.805,129.517,114.136
0.125,-0.765,1.603,-47.363,148.437,122.009
0.084,-0.744,1.571,-41.626,174.683,130.676
0.005,-0.726,1.553,-37.170,204.651,139.221
-0.086,-0.756,1.520,-34.729,234.375,146.362
